Target,<F>(raw),σ_F(raw),<ΔF>(raw),σ_ΔF(raw),<F>(unbinned),σ_F(unbinned),<ΔF>(unbinned),σ_ΔF(unbinned),<F>(6hr),σ_F(6hr),<ΔF>(6hr),σ_ΔF(6hr),<F>(12hr),σ_F(12hr),<ΔF>(12hr),σ_ΔF(12hr),σ^2_XS(unbinned),err(σ^2_XS)(unbinned),σ^2_XS(6hr),err(σ^2_XS)(6hr),σ^2_XS(12hr),err(σ^2_XS)(12hr),σ_rms(unbinned),err(σ_rms)(unbinned),σ_rms(6hr),err(σ_rms)(6hr),σ_rms(12hr),err(σ_rms)(12hr),m1,r2_1,m2,r2_2,m3,r2_3,m4,r2_4,τ_inc(days),"σ_τ,inc(days)",Δt_inc(days),"τ_exp,inc(days)",τ_dec(days),"σ_τ,dec(days)",Δt_dec(days),"τ_exp,dec(days)",δ,"R_min(km,10^8 Ms)","R(km,10^8 Ms)","R_max(km,10^8 Ms)",Rs_min (10^8 Ms),Rs (10^8 Ms),Rs_max (10^8 Ms),χ^2,dof,χ^2/dof
PKS0336-177,354.725912906546,2.9070304704583734,-0.027628458335081867,1.3169169527556837,354.67816269689854,2.806548055769447,0.029036826578482604,1.4663785022262028,354.5663581863216,2.6403929421525794,0.07539207632518106,0.6432949604563128,354.54413477984,2.644956349751925,0.16312221161820473,0.7164469281286545,6.850592706525534,0.18628010791476718,6.859491013553869,0.2076076556376356,6.927929045265265,0.18628010791476718,2.617363693972531,0.035585445833100596,2.6190630029752757,0.03963395599910955,2.632095941500854,0.04293220463021404,-0.005876980522911857,0.0012278139827421874,-0.010287340624054616,0.0034795914835109576,0.007318637451626354,0.002048793858095088,0.004302905992525915,0.0011508843967160676,1.9753885394229347,0.474147003278559,0.039103249464005785,2.5783010499426537,1.787142103402497,0.5793654403607428,0.03910324596677128,2.8498832496543605,11.0,374102177399.06915,509197446465.19824,644292715531.3273,132.64072264136968,180.53975984811282,228.43879705485594,6685.206483710985,870,7.684145383575845
PKS0346-27,37.07212344483833,17.815248704203547,0.01971284600787837,1.1274381943721568,37.06810804155036,17.79047067935729,0.020318666136006018,1.6015971910704505,37.75784647761749,18.063623732161517,-0.0971708872461948,1.9181664083597574,37.5842572370568,17.813277472302204,0.7752575565682561,3.2280551072800527,315.9392851277334,0.9061820566465417,326.0212212592074,2.2252686733943228,317.05547597821186,0.9061820566465417,17.774681013389056,0.02549081066388606,18.05605774412586,0.061621110901638125,17.806051667290305,0.083420587567483,0.035039187031850896,0.5063175055878324,0.05199654832764409,0.4658949404878152,0.034964942078696666,0.8043972732860213,0.04118429094719516,0.26115555140936264,0.15674225420115218,0.02498269366744458,0.020928005754740298,0.17758724481213245,0.12309409804493837,0.025447210067032752,0.031391552426725866,0.22613127283375953,11.0,27954171345.98325,35072309180.163086,42190447014.34293,27.298153166939098,34.24924516876823,41.20033717059737,473648.85461873753,864,548.2046928457611
PKS0420-01,-0.10004637994960143,1.581340415093972,-0.027566864611789595,1.1320142767633774,3.7260506634283033,1.5514396442969585,-0.008261990393109021,1.1955679857191974,3.756891604041843,1.3778922596193532,-0.05639795381740769,0.4210704872859682,3.735423940614716,1.3540442294386816,-0.039964842673826634,0.32068725087907496,1.8531086714447655,0.06607075256386288,1.8501371414056305,0.06537231919843586,1.8041582413375539,0.06607075256386288,1.3612893415599658,0.024267710965895497,1.3601974641226289,0.024030451799365436,1.343189577586706,0.02561036640875975,0.03488590453922855,0.039274019735617394,0.034565893308460466,0.059045520679938956,0.018659396810802427,0.0324540709274469,0.036782701854209225,0.12592388559081147,0.12337768086108346,4.878076834305444,0.2935568921070626,0.5277130005342809,0.3657827784651657,0.046609208435618325,3.435772439978223,0.17799636833466628,5.31,10558734396.255163,16969364134.513987,23379993872.77281,14.233067491814051,22.87453173416008,31.51599597650611,4723.16283111062,1081,4.369253312775782
PKS0422+00,61.23168990903653,4.746411669047085,0.03598882596646018,1.1578025981241002,61.249899273013334,4.699774893756195,0.06857016600569812,1.3756951733904794,61.359089603384554,4.67807970536823,-0.19748592115811286,0.9744510314153696,61.31472414841458,4.688780489503831,-0.27174243905983053,1.7023280217558376,21.348183110001667,0.24494782994386388,21.79847764539081,0.297227856385635,21.93524668056697,0.24494782994386388,4.620409409349096,0.02650715642733174,4.668883982858303,0.03183071773435579,4.683507946034358,0.0335313490441689,0.010179510052921965,0.03291764434484723,0.010046621752414593,0.046258520255015756,0.009560752633186549,0.17170182008624058,0.003964008185731427,0.015364718224902374,1.5531498381491338,0.359454788652896,0.20674016669954653,2.0480189905121056,1.4195785890066912,0.3593068383452702,0.15903188830861836,2.2407215692552516,5.73,157342357179.3532,210692224173.3571,264042091167.36093,532.760840608972,713.4033611332039,894.0458816574359,31853.926828215728,1070,29.77002507309881
PKS0426-380,23.09177806806182,1.6779945132596445,0.0360549692876551,0.8196566522655598,20.898217388017574,3.054364497300397,0.0028522393913688023,0.9821126927072673,21.019098472530864,2.936574267053867,-0.039096202652115435,0.5233353079866592,21.804022911539658,1.9544788386988308,-0.14494641581053105,0.7516948682499969,8.86550843620505,0.09335161704479024,8.576539070370313,0.10140322909101471,8.479778998518976,0.09335161704479024,2.9775003671208924,0.015676172214053666,2.9285728726412654,0.017312737893313824,2.9120060093548874,0.02067915229763607,0.005431607386200008,0.005386669219523577,0.010527452574413601,0.01558713524469768,0.0056476225709794535,0.4407569257569227,0.007083142699089992,0.08693907162818193,0.28685635712376356,0.04412202018780719,0.09897056744352994,0.31000621962475555,0.21487993708894648,0.06361355399856879,0.08907170263830722,0.4138462438699272,11.0,48652815623.46698,61224183042.84751,73795550462.22806,27.976579938171646,35.2054291020582,42.43427826594476,38757.510251849846,1935,20.029721060387516
PKS0454-234,18.969738605890427,1.759628363790994,0.007088172828787487,0.6418759640199505,18.945107640139906,1.6830975264678127,0.0017599521873306783,0.8175984263463556,18.294966085568035,1.1208039471437257,0.08345878777455142,0.5179814991641776,18.104448030020297,0.8782619343845306,0.2285457629843874,0.7522844893064131,2.6016967134677156,0.04861250731220808,2.4605621447714645,0.05872557155807557,2.4724019240527157,0.04861250731220808,1.6129775923637983,0.015069182467986756,1.568617909107079,0.018718889800099423,1.5723873327054996,0.01981693204460747,-0.026888717431729877,0.058163519653039786,-0.001249781846340348,0.0001888508857607052,-0.035651257645398796,0.5332467380783016,-0.01026852708648336,0.36237126104947304,0.7110516912594437,0.2131873507150584,0.23922509071394416,1.3042925526092088,0.9040667054664072,0.10765657775867761,0.1872224813239427,1.0258307487957097,11.0,171920996332.1931,202594804747.05453,233268613161.91602,272.2798876348484,320.8595334414229,369.4391792479975,12971.114614798957,1062,12.213855569490542
PKS0521-36,408.0318243180915,23.785884011486765,-0.0013074339251442127,2.337784505847168,412.6885865680384,19.307477809189674,0.006601030240900309,2.9521318141924473,412.30891615584403,18.736163436839703,0.6341987231085228,6.25908566635832,412.38829846723496,18.02629729743928,0.0687047713962228,7.298818067333907,371.6958054632982,0.8899056768967186,348.8162967253564,4.320893304279643,322.83349341590156,0.8899056768967186,19.279414033193493,0.023079168157407747,18.67662433967542,0.11567650624906063,17.96756782138032,0.15703731259183837,0.06841121121693744,0.18125071397293213,0.09498820017022672,0.16889115085799344,0.10213510062598447,0.7495425131661202,0.12202313130537289,0.7803752327102069,0.25283228233235705,0.018686878029144365,0.039436484956695494,0.6946460414039544,0.48149194508627796,0.007807798422225523,0.05915472214564943,0.3647598798975298,11.0,69813050283.44043,72037669697.6118,74262289111.78316,383.37453042010884,395.5909057225601,407.8072810250112,687356.6948970227,2035,337.7674176398146
PKS0637-75 sectors 1+2+3,98.34268597554231,4.061989380046774,-0.005991992289243978,0.7070700013493492,321.44606556871565,0.5304057215547828,-0.002301232468406915,0.6888849443094816,321.43630123795737,0.28475209923317335,-0.007046468210555254,0.23607840231968147,321.43903765748064,0.23450373337272484,-0.01535591108070427,0.1954047026232967,0.03772766778255904,0.00751068241875111,0.05395035705050813,0.004546353716081428,0.04608900110151491,0.00751068241875111,0.19423611348706254,0.019333898016990987,0.23227216159175884,0.009786695239165363,0.21468349051921742,0.009854870818154378,0.017541183906872274,0.0016247072622108671,0.1248234891818615,0.056793975329759605,0.01891608695385488,0.07733989418575316,0.04312182342688354,0.08730937119803628,12.74712683445378,8.199445421595488,0.17644476709006085,35.80503337749963,24.818157935468605,2.9374953213982447,0.23946079854806612,18.3902166696491,11.0,2794987207621.868,3631946458826.1807,4468905710030.492,2924.599947467936,3800.3717490096096,4676.143550551283,3662.6397574185676,3177,1.152861113446197
PKS0637-75 sectors 4+5+6,70.09217092986685,4.745615390951239,0.0029932705591305528,0.7395125360504322,253.4374762069631,2.4993610259754955,0.001899079663789021,0.9077714236808676,253.43731587192565,2.397785021829093,-0.024365206447788012,0.37319677775987314,253.55557631383908,3.5931546197141224,-0.029271845001600214,0.6566838980098342,5.9721325445405835,0.04857340794396797,5.697619004092683,0.07161874181893947,5.6551314625915765,0.04857340794396797,2.4437947017989425,0.009938111394588871,2.386968580457791,0.015002028599221,2.3780520310942688,0.016228315094219972,0.007968703940623833,0.002778557704239182,0.03045126002068249,0.031000160628009588,0.038408579703667345,0.1751248552044491,0.02570868393872965,0.12136382207505503,2.0228469400488542,0.1654879185763156,0.025206352087252526,2.028461755058289,1.4060225463923313,0.7256174734454063,0.05041270417416399,2.9183512488858963,11.0,353456540211.8474,400607813409.1318,447759086606.41614,369.84748127534846,419.1853139279551,468.5231465805618,65749.25144856934,2844,23.118583491058136
PKS0637-75 sectors 7+8+9,64.42477746299281,5.699305860427638,0.015699204886202116,0.6453903216591097,231.88231690192157,0.9749713649534961,0.006892452344618584,0.6557180339826929,231.85061699710457,0.7480706447351682,0.01981705359434255,0.26649696331584727,231.94651895883015,0.8989752509733551,0.060457194712345584,0.3337963797360851,0.544218421175567,0.01612272953706223,0.5380866186629873,0.014929328933324673,0.5220413838924105,0.01612272953706223,0.7377116111161373,0.010927528653554053,0.733543876440249,0.010176166288630143,0.7225243137032902,0.01045516381735103,0.04788320342527506,0.04675605740710598,0.03595485088495355,0.025756184826741912,0.06319325892378579,0.6347108903904222,0.08381551316227874,0.46379871409500095,14.546960672043387,2.3776760254620184,0.20165535390196965,13.493536566044453,9.35300682653624,4.193768916268621,0.151241984270996,20.986828021563777,11.0,1987430448532.7793,2664884445269.662,3342338442006.545,2079.5941282037893,2788.463892568263,3497.333656932736,8311.690516777886,2503,3.320691377058684
PKS0736+01,8.66803658803304,29.815437473955765,-0.029951895825118282,4.596756989423505,31.947791424111657,29.71280463685482,0.07493234243104437,1.906344806387101,32.41327006141289,32.461120577536626,0.6591213373639899,4.942398854849693,31.879297117580556,31.58358985741433,1.2589598243514528,3.6180950787557804,1061.947234168198,1.6828527534176014,1039.3607662943573,28.12762337625897,988.3315249559745,1.6828527534176014,32.58753188212016,0.025820500299087307,32.23911857192062,0.4362343733671018,31.437740455636668,0.48659900369627823,0.3386607370483729,0.767961455368494,0.38470825316529905,0.8193685044506684,0.29756181072601184,0.6327535733909897,0.36085701471723014,0.830114462840536,0.024863305429073265,0.0005948494948065857,0.03503082705287852,0.042551869179868286,0.029494708149581335,0.00047989649894836136,0.035030823138413325,0.03587016744263164,11.44,7225283496.642913,7367486265.086191,7509689033.529468,7.560343631304954,7.709140809333138,7.8579379873613195,1674093.9205729482,966,1733.016480924377
PKS0829+046,66.31980424700163,15.048947220996526,0.00033450411575003934,1.032059469788386,66.26277176091551,15.037499274466878,-0.005180800716757948,1.103706045040291,66.59518344304193,15.068057625295765,0.45823329059735396,2.2727688076548196,66.42583230219341,15.035930201387764,0.9901999015171261,3.167334097458414,225.71037679343704,0.6190445812758762,226.79156250642814,1.6897442077603553,225.79247917376404,0.6190445812758762,15.023660565702256,0.020602321869847836,15.05960034351603,0.05610189411460316,15.026392753211399,0.08365140917931277,0.04578335957429477,0.43879008208992276,0.07508041295886705,0.53602158520298,0.04548515395607177,0.8796054313355524,0.08938241847645981,0.5908946846161796,0.21892123926886803,0.03562804938466835,0.03549558205395442,0.4340805161217952,0.30088168588582825,0.02872277890998846,0.03549604697923314,0.3158365862384621,5.94,29263609134.41728,33682846670.253323,38102084206.08937,30.620658836595876,35.24483093652878,39.86900303646169,517641.5720797075,980,528.20568579562
PKS1244-255,22.730259151249143,6.983362332400306,0.023597099127252264,1.0068945029663412,22.633593566960165,6.912638366856815,0.014117517748173287,1.058095393846798,22.461351241491382,6.76582228071255,0.13829237129609168,1.0790791043952497,22.46647347193594,6.765235274960397,0.17098736545876145,1.0282581313134398,47.22001310369848,0.3433366183751312,45.67997270928966,0.48162052213219403,45.694146284508854,0.3433366183751312,6.87168197050027,0.02498199275294282,6.7586960805535305,0.03562969220630718,6.759744542843972,0.0442250186173326,0.0448354567010935,0.3509025242007495,0.07167274268377942,0.44113911150444973,0.03537353147801411,0.5716964976421037,0.058999814070189484,0.5273428402606009,0.18699130829036517,0.04109376426469781,0.038273138619956626,0.35237378628288274,0.2442468964652129,0.03836356886887869,0.0637882998345276,0.26977143315984914,11.0,42347424551.87465,53278078173.728935,64208731795.58323,130.77166290007423,164.52624811607944,198.28083333208468,77377.00972178418,909,85.12322301626423
PKS2155-304,562.3476786909899,26.454171510824782,-0.03311114177531666,1.7596467124410364,562.5252877097806,22.365881846132616,-0.05331099207528065,5.17413947447172,562.6435856072845,26.481198762886528,0.3888890637684581,9.24515070109894,561.0202369767636,29.133622104287767,-0.5637062250121397,11.671123866363029,498.84103112763495,1.571476749091607,461.54816512955813,8.14658690885326,463.5063657829361,1.571476749091607,22.334749408212193,0.03518008463783784,21.48367205878823,0.18959949878588778,21.529197982807815,0.19618294029557,-0.009551092048236696,0.008485599546736888,-0.0067468981505533964,0.004764511876057642,-0.00526846351333607,0.0745220279816945,-0.01566200453360564,0.29870213624979136,0.3930004489626336,0.014735375085103206,0.037312391669502176,0.5464745921207103,0.37878732277611643,0.018505028617294802,0.03731296291812214,0.5669797987855276,11.0,103726682837.37265,107925126459.59848,112123570081.82431,3512.182970477985,3654.342169915727,3796.501369353469,433005.327552067,1125,384.8936244907262
PKS2155-83,-1.0635944331457856,7.260932641020456,-0.05517081403274482,1.0685551920960055,19.274669087182616,5.6336722656951945,-0.022315904806022437,1.7373572281305956,18.12918295174333,4.0635948061660905,-0.367685711669761,1.1480384391386165,17.737784743233277,4.344744727853051,-0.5950316490400973,1.5726322257882521,30.776396574587967,0.30333712578294914,28.060927688881904,0.5768957981077755,26.618415301806508,0.30333712578294914,5.547647841616118,0.027339255702880216,5.297256619126725,0.05445231745284781,5.159303761342852,0.06070940141611851,0.054123489552853336,0.16184134151565277,0.06335103105104967,0.1802582467357533,0.043307575455129525,0.7711450352851564,0.07318244603866352,0.8627049655670871,0.06298495817565157,0.013152821696076535,0.03634414539703812,0.027199224981994466,0.018853066109685093,0.012588872939818812,0.07999546656856182,0.09086808681061129,11.0,1624129325.8722367,5371667481.177986,9119205636.483734,9.339147864913556,30.88842500945973,52.4377021540059,42333.913459733936,1307,32.39014036704968
PKS2255-282,45.79828698670335,12.001189358843442,-0.05617393017883746,1.081319153932085,45.76996681606674,11.73273923387984,0.011381872233064938,2.917781657736287,46.128399526861465,11.667578792096648,-0.483030569932058,1.5711360000391905,45.99051980924923,11.486869638679776,-0.4988517376760083,1.4039983683521124,137.01078753489472,0.5914672950517835,135.68014703545418,1.7210716290420691,131.6446674923399,0.5914672950517835,11.705160722300857,0.025265235953783646,11.648182134369902,0.07387726295778638,11.473651009697823,0.08406205774037333,0.012319248991218971,0.05000004108778544,0.03876021510059417,0.31703606226260506,0.018864811810521395,0.5232975963831719,0.05693936436257261,0.6453215358336895,0.1464623841812505,0.01151503319338757,0.054088592067273566,0.12252421236525979,0.08492731235130781,0.014943828218507637,0.02163552522779355,0.21130055533506423,11.0,20916828614.374775,24197723562.16416,27478618509.953552,8.713296272333853,10.080014441972915,11.446732611611978,214099.15351336662,1014,211.1431494214661
